url,title,author,date,body
https://www.pbs.org/newshour/arts/country-rocker-and-fiddler-charlie-daniels-dies-at-age-83,Country rocker and fiddler Charlie Daniels dies at age 83,Kristin M,"['Jul 6, 2020']","NASHVILLE, Tenn. (AP) — Country music firebrand and fiddler Charlie Daniels, who had a hit with Devil Went Down to Georgia, has died at 83.A statement from his publicist said the Country Music Hall of Famer died Monday at a hospital in Hermitage, Tennessee, after doctors said he had a stroke.He had suffered what was described as a mild stroke in January 2010 and had a heart pacemaker implanted in 2013 but continued to perform.Daniels, a singer, guitarist and fiddler, started out as a session musician, even playing on Bob Dylans Nashville Skyline sessions. Beginning in the early 1970s, his five-piece band toured endlessly, sometimes doing 250 shows a year.I can ask people where they are from, and if they say `Waukegan,′ I can say Ive played there. If they say `Baton Rouge,′ I can say Ive played there. Theres not a city we havent played in, Daniels said in 1998.Daniels performed at White House, at the Super Bowl, throughout Europe and often for troops in the Middle East.He played himself in the 1980 John Travolta movie Urban Cowboy and was closely identified with the rise of country music generated by that film. Some of his other hits were Drinkin My Baby Goodbye, Boogie Woogie Fiddle Country Blues and Uneasy Rider.Ive kept people employed for over 20 years and never missed a payroll, Daniels said in 1998. That same year, he received the Pioneer Award from the Academy of Country Music.He is survived by his wife, Hazel, and his son, Charlie Daniels Jr.There are few artists that touched so many different generations in our business than Charlie Daniels did, said Sarah Trahern, CEO of the Country Music Association, in a statement. Today, our community has lost an innovator and advocate of Country Music. Both Charlie and Hazel had become dear friends of mine over the last several years, and I was privileged to be able to celebrate Charlies induction into the Opry as well as tell him that he was going to be inducted into the Country Music Hall of Fame.Contemporary country artists like Luke Bryan and Jason Aldean also paid tribute to Daniels on social media. What a hero. A true patriot, Christian, and country music icon. Prayers to his family, said Bryan in a tweet.In the 1990s Daniels softened some of his lyrics from his earlier days when he often was embroiled in controversy.In The Devil Went Down to Georgia, a 1979 song about a fiddling duel between the devil and a whippersnapper named Johnny, Daniels originally called the devil a son of a bitch, but changed it to son of a gun.In his 1980 hit Long Haired Country Boy, he used to sing about being stoned in the morning and drunk in the afternoon. Daniels changed it to I get up in the morning. I get down in the afternoon.I guess Ive mellowed in my old age, Daniels said in 1998.Otherwise, though, he rarely backed down from in-your-face lyrics. Such tough talk earned him guest spots on Politically Incorrect, the G. Gordon Liddy radio show and on C-Span taking comments from viewers.The Devil Went Down to Georgia was No. 1 on the country charts in 1979 and crossed over to the pop charts. It was voted single of the year by the Country Music Association and earned his band a Grammy for best country vocal performance by a duo or group.In the climactic verse, Daniels sang:The devil bowed his head because he knew that hed been beat.He laid that golden fiddle on the ground at Johnnys feet.Johnny said, Devil just come on back if you ever want to try again.I told you once you son of a (gun), Im the best thats ever been.He hosted regular Volunteer Jam concerts in Nashville in which the performers usually were not announced in advance. Entertainers at these shows included Don Henley, Amy Grant, James Brown, Pat Boone, Bill Monroe, Willie Nelson, Vince Gill, Lynyrd Skynyrd, Alabama, Billy Joel, Little Richard, B.B. King, Stevie Ray Vaughan, Eugene Fodor and Woody Herman.Daniels, a native of Wilmington, N.C., played on several Dylan albums as a Nashville recording session guitarist in the late 1960s, including New Morning and Self-Portrait. He also played on albums by Marty Robbins, Claude King, Flatt & Scruggs, Pete Seeger, Leonard Cohen, Al Kooper and Ringo Starr.He also performed gospel music, which earned him Dove Awards as well.Eventually, at the age of 71, he was invited to join the epitome of Nashvilles music establishment, the Grand Ole Opry. He was inducted in the Country Music Hall of Fame in 2016.He said in 1998 that he kept touring so much because I have never played those notes perfectly. Ive never sung every song perfectly. Im in competition to be better tonight than I was last night and to be better tomorrow than tonight.Daniels said his favorite place to play was anywhere with a good crowd and a good paycheck."
https://www.pbs.org/newshour/nation/scotus-upholds-cellphone-robocall-ban,SCOTUS upholds cellphone robocall ban,Associated Press,"['Jul 6, 2020']","WASHINGTON (AP) — The Supreme Court on Monday upheld a 1991 law that bars robocalls to cellphones.The case, argued by telephone in May because of the coronavirus pandemic, only arose after Congress in 2015 created an exception in the law that allows the automated calls for collection of government debt.Political consultants and pollsters were among those asking the Supreme Court to strike down the 1991 law that bars them from making robocalls to cellphones as a violation of their free speech rights under the Constitution. The issue was whether, by allowing one kind of speech but not others, the exception made the whole law unconstitutional.MORE: What Supreme Court decision on Louisiana law means for U.S. abortion rightsThe court threw out the exception for government-debt collection and preserved the broader prohibition.During arguments, Justice Stephen Breyer got cut off when someone tried calling him. Breyer said after he rejoined the courts arguments: The telephone started to ring, and it cut me off the call and I dont think it was a robocall."
https://www.pbs.org/newshour/world/hong-kong-police-granted-sweeping-powers-under-security-law,Hong Kong police granted sweeping powers under security law,Zen Soo,"['Jul 6, 2020']","HONG KONG (AP) — In implementing the national security law for Hong Kong, police will have sweeping authority that allows them to take actions including conducting searches without a warrant, restricting suspects from leaving the city, and intercepting communications.Hong Kongs government issued the details of Article 43 in the citys national security law on Monday night, which outlines the measures that the police force can take to implement the legislation in the city.According to the rules, police may be authorized to conduct searches for evidence without a warrant in exceptional circumstances. Police may also apply for a warrant that requires a person suspected of violating the national security law to surrender their travel documents, thus restricting them from leaving Hong Kong.Additionally, under the rules, written notices or restraining orders may be issued to freeze or confiscate property if there are reasonable grounds to suspect that the property is related to an offense endangering national security.WATCH: Why this pro-democracy Hong Kong activist decided to flee his homePlatforms and publishers, as well as internet service providers, may also be ordered to take down electronic messages published that are likely to constitute an offence endangering national security or is likely to cause the occurrence of an offence endangering national security.Service providers who do not comply with such requests could face fines of up to 100,000 Hong Kong dollars ($12,903) and receive jail terms of six months.Individuals who post such messages may also be asked to remove the message, or face similar fines and a jail term of one year.Before the release of the implementation rules on Monday, Facebook, WhatsApp and Telegram said that they would deny law enforcement requests for user data in Hong Kong as they assess the effect of the national security law.The companies did not immediately respond to requests for comment on the new implementation rules.Under the implementation rules, Hong Kong chief executive Carrie Lam may also authorize police to intercept communications and conduct surveillance to prevent and detect offences endangering national security.Finally, written notices may also be served to a foreign political organisation or Taiwan political organisation, or individual agents, to furnish details on their activities related to Hong Kong. This includes details such as personal particulars, assets, income, and expenditure of the organization in Hong Kong. Failure to comply or providing false or incomplete information can result in a fine of 100,000 Hong Kong dollars ($12,903) or imprisonment of six months or two years respectively.The details of the implementation rules come into effect Tuesday and details were released after the Committee for Safeguarding National Security of the Hong Kong Special Administrative Region, chaired by Lam, convened its first meeting on Monday.Hong Kongs national security law, imposed last week following anti-government protests in Hong Kong last year, makes secessionist, subversive, and terrorist activities illegal, as well as foreign intervention in the citys internal affairs. Any activities such as shouting slogans or holding up banners and flags calling for the citys independence are a violation of the law regardless of whether violence is used. The maximum penalty is life imprisonment.Critics see it as Beijings boldest step yet to erase the legal firewall between the former British colony and the mainlands authoritarian Communist Party system.Hanscom Smith, U.S. consul general to Hong Kong and Macau, said Monday that it is a tragedy to use the semi-autonomous Chinese territorys new national security law to chip away at freedoms in the Asian financial hub.Using the national security law to erode fundamental freedoms and to create an atmosphere of coercion and self-censorship is a tragedy for Hong Kong, Smith told reporters. Hong Kong has been successful precisely because of its openness and well do everything we can to maintain that.Since the law went into effect, the government has specified that the popular protest slogan Liberate Hong Kong, revolution of our time has separatist connotations and is thus criminalized.In Hong Kongs public libraries, books by pro-democracy figures have been pulled from the shelves, including those written by prominent pro-democracy activist Joshua Wong and politician Tanya Chan. The authority that runs the libraries said it is reviewing the books in light of the new legislation.Many pro-democracy shops that publicly stood in solidarity with protesters have removed pro-democracy notes and artwork that adorned the walls of their stores, fearful that they might violate the new law.A 23-year-old man, Tong Ying-kit, was the first person in Hong Kong to be charged under the new law, for allegedly driving a motorcycle into a group of policemen while bearing a flag with the Liberate Hong Kong, revolution of our time slogan.Tong appeared in court Monday facing charges of incitement to secession and terrorist activities. He was denied bail.Separately, pro-democracy activists Agnes Chow, Joshua Wong and Ivan Lam also appeared in court Monday over charges related to a protest last June. Chow pleaded guilty to inciting others to participate in an unlawful assembly, as well as to participating in an unauthorized assembly.News Wrap: Controversial Hong Kong security bill becomes lawWong, who was indicted on similar charges, pleaded not guilty. Lam, who was charged with inciting others to participate in an unlawful assembly, also pleaded not guilty. All three were released on bail.With the risk of our personal safety, with the threat of life sentencing, we might be worried, and also being targeted by Beijing, but we also encourage the global community to let our voice be heard in the world, Wong told reporters Monday. We still hope to let the world know that now is the time to stand with Hong Kong, and now is the time for Hong Kongers to keep our momentum.The cases will move to trial and sentencing following a pretrial review for Wong and Lam scheduled for Aug. 5.A group of about 10 protesters gathered at a shopping mall in Hong Kongs Central business district on Monday holding up signs calling for city leader Carrie Lam to step down, as well as reiterating protesters demands from the pro-democracy movement last year. The demands include an independent inquiry into the police and greater democracy.Others held up blank pieces of paper as a sign of protest against the suppression of political protest in the city. About 20 riot police later entered the mall, detaining protesters holding up signs, although they did not appear to make any arrests.We feel worried that we may be convicted for expressing our views, said protester Anthea Wong. Thats why we are using white paper instead.Associated Press journalist Katie Tam contributed to this report."
https://www.cbsnews.com/live-news/coronavirus-deaths-global-pandemic-lives-we-lost/,Lives to remember: Those we've lost to coronavirus,[],"['June 25, 2020']","Anthony Mason profiles Wall Street pioneer Carole Brookins, chemist Dr. Changkiu Keith Riew, pulmonologist Dr. James Mahoney, corrections officer Inez Gonzalez and mental health counselor Torrin Howard."
https://www.cbsnews.com/news/dakota-access-pipeline-shut-down-judge-ruling-today-2020-07-06/,Judge orders shutdown of controversial Dakota Access pipeline pending review,[],"['July 6, 2020']","A federal judge on Monday sided with the Standing Rock Sioux Tribe and ordered the Dakota Access pipeline to shut down until more environmental review is done. U.S. District Judge James Boasberg said that the pipeline, which has been in operation three years, remains ""highly controversial"" under federal environmental law, and a more extensive review is necessary than the environmental assessment that was done. In a 24-page order Monday, Boasberg wrote that he was ""mindful of the disruption such a shutdown will cause,"" but said he had concluded that the pipeline must be shut down.""Clear precedent favoring vacatur during such a remand coupled with the seriousness of the Corps' deficiencies outweighs the negative effects of halting the oil flow for the thirteen months that the Corps believes the creation of an EIS will take,"" Boasberg wrote.Get Breaking News Delivered to Your InboxBoasberg had ordered both parties to submit briefs on whether the pipeline should continue operating during the new environmental review.The pipeline was the subject of months of protests, sometimes violent, during its construction near the Standing Rock Sioux Reservation that straddles the North Dakota-South Dakota border. The Standing Rock tribe presses litigation against the pipeline even after it began carrying oil from North Dakota across South Dakota and Iowa and to a shipping point in Illinois in June 2017.The $3.8 billion, 1,172-mile underground pipeline crosses beneath the Missouri River, just north of the reservation. The tribe draws its water from the river and fears pollution. Texas-based Energy Transfer insisted the pipeline is safe."
https://www.cbsnews.com/news/suspected-bubonic-plague-reported-inner-mongolia-china/,China reports case of suspected bubonic plague,[],"['July 6, 2020']","Beijing — While China appears to have reduced coronavirus cases to near zero, other infectious threats remain, with local health authorities announcing a suspected bubonic plague case in the Inner Mongolia Autonomous Region. Authorities in the Bayannur district raised the plague warning on Sunday, ordered residents not to hunt wild animals such as marmots and to send for treatment anyone with fever or showing other possible signs of infection. Plague can be fatal in up to 90% of people infected if not treated, primarily with several types of antibiotics.  Get Breaking News Delivered to Your InboxPneumonic plague can develop from bubonic plague and results in a severe lung infection causing shortness of breath, headache and coughing.  China has largely eradicated plague, but occasional cases are still reported, especially among hunters coming into contact with fleas carrying the bacterium. The last major known outbreak was in 2009, when several people died in the town of Ziketan in Qinghai province on the Tibetan Plateau. Along with the coronavirus, first detected in the central Chinese city of Wuhan late last year, China has dealt with African swine fever, which has devastated pig herds.                                  Trending News                                    China reports case of suspected bubonic plague                              Siberian tiger kills zookeeper in front of visitors                              Jane Goodall: If humans don't change ""we're going to destroy ourselves""                              Formula One drivers take a knee in anti-racism campaign                              100.4° Arctic record confirmed; Earth may be warmest in 12,000 years              China has gone weeks without reporting a new death from the coronavirus, and on Monday reported just one new case of local infection, in the capital, Beijing. "
https://www.bbc.com/news/health-53305721,What is bubonic plague?,Michelle Roberts,['6 July 2020'],"Image copyrightGetty ImagesA suspected case of bubonic plague has been reported to Chinese authorities. It is not known how the patient became infected, but the country is on alert for more cases.Plague is one of the deadliest diseases in human history - but it can now be easily treated with antibiotics.What is bubonic plague?Plague is a potentially lethal infectious disease that is caused by bacteria called Yersinia pestis that live in some animals - mainly rodents - and their fleas. Bubonic plague is the most common form of the disease that people can get. The name comes from the symptoms it causes - painful, swollen lymph nodes or 'buboes' in the groin or armpit. From 2010 to 2015 there were 3,248 cases reported worldwide, including 584 deaths.Historically, it has also been called the Black Death, in reference to the gangrenous blackening and death of body parts, such as the fingers and toes, that can happen with the illness. What does it do?A person usually becomes ill with bubonic plague between two and six days after being infected. Along with the tender, enlarged lymph nodes, that can be as large as a chicken egg, other symptoms include fever, chills, headache, muscle aches and tiredness. Plague can also affect the lungs, causing a cough, chest pain and difficulty breathing. The bacteria can also enter the bloodstream and cause a condition called septicaemia or sepsis, which can lead to tissue damage, organ failure and death. How can you catch it? People can catch it from:Bites of infected fleasTouching infected animals such as rats and miceInhaling infected respiratory droplets spread by infected people or animalsDomestic cats and dogs can become infected from flea bites or from eating infected rodents. The infection could also enter the body through a cut in the skin if the person came in close contact with an infected animal's blood.The current alert in China forbids the hunting and eating of animals that could carry plague. The body of someone who has died after being infected with plague can infect people who are in close contact, such as those who are preparing the body for burial. Is there a treatment or a cure for it?Prompt treatment with antibiotics is vital. The disease is often lethal if left. Early diagnosis, using laboratory tests on blood and other body samples, can save lives. Could there be a new outbreak or pandemic?Plague still exists in many parts of the world. In recent years there have been outbreaks in the Democratic Republic of Congo and Madagascar. Although plague has been the cause of widespread disease outbreaks in medieval times, any outbreaks today are thankfully small.Dr Matthew Dryden, consultant microbiologist at the University of Southampton in the UK, said: ""It is good that this has been picked up and reported at an early stage because it can be isolated, treated and spread prevented. ""Bubonic plague is caused by a bacterium and so, unlike Covid-19, is readily treated with antibiotics. So although this might appear alarming, being another major infectious disease emerging from the East, it appears to be a single suspected case which can be readily treated."""
https://www.pbs.org/newshour/politics/south-dakota-governor-exposed-to-virus-joined-trump-on-jet,"South Dakota governor, exposed to virus, joined Trump on jet",Stephen Groves,"['Jul 6, 2020']","SIOUX FALLS, S.D. (AP) — Shortly after fireworks above Mount Rushmore disappeared into the night sky on Friday, South Dakota Gov. Kristi Noem accompanied President Donald Trump aboard Air Force One despite having had close contact with Trumps sons girlfriend, who had tested positive for the coronavirus.Trump has been in a position all along to encounter a virus that spreads from people who dont feel sick, such as Noem, who had interacted closely at a campaign fundraiser with Donald Trump Jr.s girlfriend, Kimberly Guilfoyle, who turned out to be sick. Noem didnt wear a mask on the plane and chatted with the president as the flight returned to Washington, D.C., according to her spokesperson, Maggie Seidel.Noem had tested negative for COVID-19 shortly before welcoming Trump to South Dakota on Friday, a day after she had interacted with Guilfoyle. One photo on social media showed Noem and Guilfoyle, who is also a Trump campaign staff member, hugging. The Trump campaign announced that Guilfoyle had tested positive on Friday.Guilfoyles infection prompted some Republicans, such as Rep. Greg Gianforte of Montana, to take precautions against the spread of the coronavirus. He suspended in-person campaigning for his gubernatorial bid after his wife and his running mate both attended a fundraiser with Guilfoyle earlier in the week.Noem doesnt plan anything similar, Seidel said. She cast Noems decision to fly on Air Force One as a demonstration of how to live with the virus. Seidel pointed to comments from the World Health Organization that the spread of the virus is rare from asymptomatic people. But that runs counter to guidance from public health experts, including the Centers for Disease Control and Prevention, that advises people to wear masks when interacting with people outside their household.WATCH: How American voters view Trumps handling of racial unrest and COVID-19Asked about Trumps interaction with Noem, the White House noted the frequency with which the president is tested.The president is tested constantly, has tested negative, and those around him are tested as well, White House press secretary Kayleigh McEnany said.When asked why Noem was allowed to travel on Air Force One, McEnany referred the question to the Secret Service, but added: They take the presidents health very seriously. They would never put him in a situation that would put him in harms way.As the number of people hospitalized from COVID-19 in South Dakota has decreased in recent weeks to just 59 people statewide, Noem has doubled down on her relaxed approach to the pandemic. Even as Republican governors in states like Texas have moved to require people to wear masks, Noem didnt require distancing or masks at the July 3 celebration at Mount Rushmore, an outdoor event at which few in the closely packed crowd wore masks.On Friday night, she told the crowd, Tonight, if you look to your left, if you look to your right, youre going to see that this crowd isnt just from South Dakota, but its from everywhere across this nation.The influx of tourists for the Rushmore fireworks has some local leaders and doctors concerned that the area could see a spike in cases. Seidel said the governor worries about other effects of the virus, such as unemployment and domestic violence.When Seidel was asked about a risk to Trumps health from Noems presence on Air Force One, she said, I dont understand why Gov. Noem now needs to manage the presidents medical care."
https://www.cbsnews.com/news/amy-cooper-faces-charge-for-calling-911-on-black-man-central-park-video/,White woman faces charge after calling 911 on Black man in Central Park,['Peter Martinez'],"['July 6, 2020']","Amy Cooper, the White woman who called 911 and claimed she was being threatened by a Black man who asked her to leash her dog in New York City's Central Park, will be prosecuted for filing a false report, Manhattan District Attorney Cy Vance announced Monday.""Today our office initiated a prosecution of Amy Cooper for Falsely Reporting an Incident in the Third Degree,"" a press release said Monday. ""Our office will provide the public with additional information as the case proceeds. At this time I would like to encourage anyone who has been the target of false reporting to contact our office. We are strongly committed to holding perpetrators of this conduct accountable.""Cooper, who was dubbed ""Central Park Karen"" after the incident, called the police after a Black man who was bird-watching asked her to leash her dog in an area where leashing is required. She repeatedly identified the man, Christian Cooper, by his race in her 911 call, demanding they ""send the cops immediately"" and falsely accusing him of threatening her life. (The two Coopers are not related.)Get Breaking News Delivered to Your InboxThe dog remained off-leash throughout the confrontation, and the video Christian Cooper took went viral. When police arrived, they determined that the two engaged in a verbal dispute and no one was arrested or given a summons, an NYPD spokesperson said. Following the incident, Amy Cooper was fired from her job at the investment management company Franklin Templeton. She issued an apology in which she said she is ""not a racist.""Vance said an arraignment will be held on October 14 and charging documents will be available once filed.Video reignites conversation on false 911 cal...04:57Sophie Lewis contributed to this report."
https://www.pbs.org/newshour/nation/judge-orders-dakota-access-pipeline-shut-down-pending-environmental-review,Judge orders Dakota Access pipeline shut down pending environmental review,Dave Kolpack,"['Jul 6, 2020']","FARGO, N.D. (AP) — A judge on Monday ordered the Dakota Access pipeline shut down for additional environmental review more than three years after it began pumping oil — handing a victory to the Standing Rock Sioux Tribe and delivering a blow to President Donald Trumps efforts to weaken public health and environmental protections it views as obstacles to businesses.In a 24-page order, U.S. District Judge James Boasberg in Washington, D.C., wrote that he was mindful of the disruption that shutting down the pipeline would cause, but that it must be done within 30 days. Pipeline owner Energy Transfer plans to ask a court to halt the order and will seek an expedited appeal, spokeswoman Vicki Granado said.The order comes after Boesberg said in April that a more extensive review was necessary than what the U.S. Army Corps of Engineers already conducted and that he would consider whether the pipeline should be shuttered during the new assessment.The Court does not reach its decision with blithe disregard for the lives it will affect, Boasberg wrote Monday.Yet, given the seriousness of the Corps NEPA (National Environmental Policy Act) error, the impossibility of a simple fix, the fact that Dakota Access did assume much of its economic risk knowingly, and the potential harm each day the pipeline operates, the Court is forced to conclude that the flow of oil must cease, he added.The findings may challenge the legal footing for the Trump administrations most momentous environmental rollbacks. Trump surrounded himself with industry leaders and workers in hard hats this January when he announced plans to overhaul the rules for enforcing NEPA.The Dakota Access pipeline was the subject of months of protests in 2016 and 2017, sometimes violent, during its construction near the Standing Rock Sioux Reservation that straddles the North Dakota-South Dakota border. The tribe pressed litigation against the pipeline even after it began carrying oil from North Dakota across South Dakota and Iowa and to a shipping point in Illinois in June 2017.The $3.8 billion, 1,172-mile (1,886 kilometer) pipeline crosses beneath the Missouri River, just north of the reservation. The tribe draws its water from the river and fears pollution.This pipeline should have never been built here. We told them that from the beginning, Standing Rock Sioux Chairman Mike Faith said in a statement.Texas-based Energy Transfer contends proper procedures were followed in granting the original easement for the pipeline, Granado said.The economic implications of the Judges order are too big to ignore and we will do all we can to ensure its continued operation, she said. Billions of dollars in tax and royalty revenue will be lost by state, local and tribal governments in North Dakota, South Dakota, Iowa and Illinois. Farmers will suffer as crude transportation will move to rail, displacing corn, wheat and soy crops that would normally be moved to market. Ironically, the counties along these rail lines will face increased environmental risks due to the increased amount of crude oil traveling by rail.Ron Ness, president of the North Dakota Petroleum Council, decried what he called a shocking ruling and noted that the pipeline is moving 570,000 barrels of Bakken oil a day.Before the coronavirus pandemic devastated the U.S. oil industry, daily oil production in North Dakota — the nations No. 2 oil producer behind Texas — was at a near-record 1.45 million barrels daily. The states output slipped to below 1 million barrels daily in May amid low energy prices and sparse demand.Permits for the project were originally rejected by the Obama administration, and the Army Corps of Engineers prepared to conduct a full environmental review. In February 2017, after Trump took office, the Corps scrapped the review and granted permits, concluding that running the pipeline under the Missouri River posed no significant environmental issues.The Corps said that opinion was validated after an additional year of review, as ordered by Boasberg, an Obama appointee, in 2017.Boasberg ruled then that the Corps largely complied with environmental law when permitting the pipeline but ordered more review because he said the agency did not adequately consider how an oil spill under the Missouri River might affect the Standing Rock Siouxs fishing and hunting rights, or whether it might disproportionately affect the tribal community.Associated Press writers James MacPherson in Bismarck, N.D., and Ellen Knickmeyer in Oklahoma City contributed to this story."
